"COUNTY_NUM","CASETYPE","CASEYR","CASENUM","COUNTYNAME","CASE_ID"
"01","CI",11,7681,"Douglas","CI 01 11-7681"
"01","CI",11,7682,"Douglas","CI 01 11-7682"
"01","CI",11,7684,"Douglas","CI 01 11-7684"
"01","CI",11,7686,"Douglas","CI 01 11-7686"
"01","CI",11,7692,"Douglas","CI 01 11-7692"
"01","CI",11,7700,"Douglas","CI 01 11-7700"
"01","CI",11,7724,"Douglas","CI 01 11-7724"
"01","CI",11,7936,"Douglas","CI 01 11-7936"
"01","CI",11,7976,"Douglas","CI 01 11-7976"
"01","CI",11,7977,"Douglas","CI 01 11-7977"
"01","CI",11,7998,"Douglas","CI 01 11-7998"
"01","CI",11,8042,"Douglas","CI 01 11-8042"
"01","CI",11,8043,"Douglas","CI 01 11-8043"
"01","CI",11,8061,"Douglas","CI 01 11-8061"
"01","CI",11,8150,"Douglas","CI 01 11-8150"
"01","CI",11,8151,"Douglas","CI 01 11-8151"
"01","CI",11,8152,"Douglas","CI 01 11-8152"
"01","CI",11,8154,"Douglas","CI 01 11-8154"
"01","CI",11,8156,"Douglas","CI 01 11-8156"
"01","CI",11,8157,"Douglas","CI 01 11-8157"
"01","CI",11,8158,"Douglas","CI 01 11-8158"
"01","CI",11,8165,"Douglas","CI 01 11-8165"
"01","CI",11,8167,"Douglas","CI 01 11-8167"
"01","CI",11,8186,"Douglas","CI 01 11-8186"
"01","CI",11,8202,"Douglas","CI 01 11-8202"
"01","CI",11,8204,"Douglas","CI 01 11-8204"
"01","CI",11,8239,"Douglas","CI 01 11-8239"
"01","CI",11,8245,"Douglas","CI 01 11-8245"
"01","CI",11,8246,"Douglas","CI 01 11-8246"
"01","CI",11,8247,"Douglas","CI 01 11-8247"
"01","CI",11,8248,"Douglas","CI 01 11-8248"
"01","CI",11,8249,"Douglas","CI 01 11-8249"
"01","CI",11,8250,"Douglas","CI 01 11-8250"
"01","CI",11,8265,"Douglas","CI 01 11-8265"
"01","CI",11,8287,"Douglas","CI 01 11-8287"
"01","CI",11,8288,"Douglas","CI 01 11-8288"
"01","CI",11,8331,"Douglas","CI 01 11-8331"
"01","CI",11,8332,"Douglas","CI 01 11-8332"
"01","CI",11,8373,"Douglas","CI 01 11-8373"
"01","CI",11,8459,"Douglas","CI 01 11-8459"
"01","CI",11,8502,"Douglas","CI 01 11-8502"
"01","CI",11,8503,"Douglas","CI 01 11-8503"
"01","CI",11,8562,"Douglas","CI 01 11-8562"
"01","CI",11,8563,"Douglas","CI 01 11-8563"
"01","CI",11,8570,"Douglas","CI 01 11-8570"
"01","CI",11,8595,"Douglas","CI 01 11-8595"
"01","CI",11,8604,"Douglas","CI 01 11-8604"
"01","CI",11,8606,"Douglas","CI 01 11-8606"
"01","CI",11,8608,"Douglas","CI 01 11-8608"
"01","CI",11,8618,"Douglas","CI 01 11-8618"
"01","CI",11,8714,"Douglas","CI 01 11-8714"
"01","CI",11,8766,"Douglas","CI 01 11-8766"
"01","CI",11,8767,"Douglas","CI 01 11-8767"
"01","CI",11,8768,"Douglas","CI 01 11-8768"
"01","CI",11,8769,"Douglas","CI 01 11-8769"
"01","CI",11,8770,"Douglas","CI 01 11-8770"
"01","CI",11,8771,"Douglas","CI 01 11-8771"
"01","CI",11,8772,"Douglas","CI 01 11-8772"
"01","CI",11,8773,"Douglas","CI 01 11-8773"
"01","CI",11,8788,"Douglas","CI 01 11-8788"
"01","CI",11,8789,"Douglas","CI 01 11-8789"
"01","CI",11,8790,"Douglas","CI 01 11-8790"
"01","CI",11,8797,"Douglas","CI 01 11-8797"
"01","CI",11,8799,"Douglas","CI 01 11-8799"
"01","CI",11,8801,"Douglas","CI 01 11-8801"
"01","CI",11,8803,"Douglas","CI 01 11-8803"
"01","CI",11,8804,"Douglas","CI 01 11-8804"
"01","CI",11,8806,"Douglas","CI 01 11-8806"
"01","CI",11,8808,"Douglas","CI 01 11-8808"
"01","CI",11,8878,"Douglas","CI 01 11-8878"
"01","CI",11,8881,"Douglas","CI 01 11-8881"
"01","CI",11,8882,"Douglas","CI 01 11-8882"
"01","CI",11,8883,"Douglas","CI 01 11-8883"
"01","CI",11,8886,"Douglas","CI 01 11-8886"
"01","CI",11,8887,"Douglas","CI 01 11-8887"
"01","CI",11,8888,"Douglas","CI 01 11-8888"
"01","CI",11,8889,"Douglas","CI 01 11-8889"
"01","CI",11,8890,"Douglas","CI 01 11-8890"
"01","CI",11,8891,"Douglas","CI 01 11-8891"
"01","CI",11,8892,"Douglas","CI 01 11-8892"
"01","CI",11,8893,"Douglas","CI 01 11-8893"
"01","CI",11,8894,"Douglas","CI 01 11-8894"
